anio,trazabilidad,departamento,tipo,modalidad,contratos,valor,nombre_geojson
2018.0,Departamento único,Quindío,Obra,Selección Abreviada de Menor Cuantía,3,1028591956.6,QUINDIO
2018.0,Departamento único,Quindío,Prestación de servicios,Contratación directa,4,188851693.0,QUINDIO
2018.0,Departamento único,Quindío,Prestación de servicios,Mínima cuantía,6,27545221.990000002,QUINDIO
2018.0,Departamento único,Quindío,Prestación de servicios,Selección Abreviada de Menor Cuantía,1,114885099.0,QUINDIO
2018.0,Departamento único,Risaralda,Interventoría,Concurso de méritos abierto,3,1820482451.0,RISARALDA
2018.0,Departamento único,Risaralda,Interventoría,Mínima cuantía,1,65835302.0,RISARALDA
2018.0,Departamento único,Risaralda,Obra,Contratación Directa (con ofertas),1,2507737159.05,RISARALDA
2018.0,Departamento único,Risaralda,Obra,Mínima cuantía,1,67153397.0,RISARALDA
2018.0,Departamento único,Risaralda,Obra,Selección Abreviada de Menor Cuantía,1,492387027.0,RISARALDA
2018.0,Departamento único,Risaralda,Prestación de servicios,Mínima cuantía,1,49455821.0,RISARALDA
2018.0,Departamento único,Santander,Consultoría,Concurso de méritos abierto,1,296998215.0,SANTANDER
2018.0,Departamento único,Santander,Consultoría,Mínima cuantía,1,40561269.0,SANTANDER
2018.0,Departamento único,Santander,Interventoría,Concurso de méritos abierto,11,9506143234.0,SANTANDER
2018.0,Departamento único,Santander,Obra,Licitación pública,4,202668344322.0,SANTANDER
2018.0,Departamento único,Santander,Obra,Mínima cuantía,7,294490764.0,SANTANDER
2018.0,Departamento único,Santander,Otro,Contratación Directa (con ofertas),3,82583809324.0,SANTANDER
2018.0,Departamento único,Santander,Prestación de servicios,Contratación directa,1,68519500.0,SANTANDER
2018.0,Departamento único,Santander,Prestación de servicios,Mínima cuantía,2,24929114.0,SANTANDER
2018.0,Departamento único,Santander,Suministros,Mínima cuantía,1,55006818.0,SANTANDER
2018.0,Departamento único,Sucre,Consultoría,Concurso de méritos abierto,1,400583512.0,SUCRE
2018.0,Departamento único,Sucre,Interventoría,Mínima cuantía,1,13437730.0,SUCRE
2018.0,Departamento único,Sucre,Obra,Mínima cuantía,3,149927875.0,SUCRE
2018.0,Departamento único,Sucre,Obra,Selección Abreviada de Menor Cuantía,1,308086573.4,SUCRE
2018.0,Departamento único,Sucre,Prestación de servicios,Mínima cuantía,1,7148219.0,SUCRE
2018.0,Departamento único,Tolima,Consultoría,Concurso de méritos abierto,1,425377876.0,TOLIMA
2018.0,Departamento único,Tolima,Consultoría,Mínima cuantía,2,86697450.0,TOLIMA
2018.0,Departamento único,Tolima,Interventoría,Concurso de méritos abierto,1,1534601853.0,TOLIMA
2018.0,Departamento único,Tolima,Interventoría,Mínima cuantía,4,169003238.0,TOLIMA
2018.0,Departamento único,Tolima,Obra,Licitación pública,2,381019316.0,TOLIMA
2018.0,Departamento único,Tolima,Obra,Mínima cuantía,6,311027907.42,TOLIMA
2018.0,Departamento único,Tolima,Obra,Selección Abreviada de Menor Cuantía,6,1299768732.0,TOLIMA
2018.0,Departamento único,Tolima,Prestación de servicios,Mínima cuantía,3,74614446.0,TOLIMA
2018.0,Departamento único,Tolima,Suministros,Mínima cuantía,8,625475392.02,TOLIMA
2018.0,Departamento único,Valle del Cauca,Consultoría,Concurso de méritos abierto,1,191418640.0,VALLE DEL CAUCA
2018.0,Departamento único,Valle del Cauca,Interventoría,Concurso de méritos abierto,4,1717524689.0,VALLE DEL CAUCA
2018.0,Departamento único,Valle del Cauca,Obra,Contratación Directa (con ofertas),1,5392264922.28,VALLE DEL CAUCA
2018.0,Departamento único,Valle del Cauca,Obra,Licitación pública,1,4000000000.0,VALLE DEL CAUCA
2018.0,Departamento único,Valle del Cauca,Obra,Mínima cuantía,2,110242118.0,VALLE DEL CAUCA
2018.0,Departamento único,Valle del Cauca,Prestación de servicios,Mínima cuantía,1,29084742.0,VALLE DEL CAUCA
2018.0,Multidepartamental,,Acuerdo Marco de Precios,Licitación pública,4,397479994279.68,
2018.0,Multidepartamental,,Arrendamiento de inmuebles,Contratación directa,2,106807491.47,
2018.0,Multidepartamental,,Consultoría,Concurso de méritos abierto,1,219485079.0,
2018.0,Multidepartamental,,Interventoría,Concurso de méritos abierto,12,36445707525.0,
2018.0,Multidepartamental,,Obra,Licitación pública,2,16736143459.0,
2018.0,Multidepartamental,,Obra,Mínima cuantía,2,83634758.0,
2018.0,Multidepartamental,,Obra,Selección Abreviada de Menor Cuantía,2,559335528.0,
2018.0,Multidepartamental,,Prestación de servicios,Mínima cuantía,3,166766705.0,
2018.0,Multidepartamental,,Prestación de servicios,Selección Abreviada de Menor Cuantía,1,828751021.0,
2018.0,No territorializable,,Arrendamiento de inmuebles,Contratación directa,1,1070368593.68,
2018.0,No territorializable,,Comodato,Contratación directa,1,300000000.0,
2018.0,No territorializable,,Compraventa,Mínima cuantía,3,19436050.0,
2018.0,No territorializable,,Compraventa,Selección abreviada subasta inversa,1,1305360000.0,
2018.0,No territorializable,,Consultoría,Concurso de méritos abierto,3,2094085394.0,
2018.0,No territorializable,,Interventoría,Concurso de méritos abierto,7,4888876447.0,
2018.0,No territorializable,,Interventoría,Mínima cuantía,5,224832383.0,
2018.0,No territorializable,,Obra,Licitación pública,4,6182224280.0,
2018.0,No territorializable,,Obra,Mínima cuantía,34,2405419223.31,
2018.0,No territorializable,,Obra,Selección Abreviada de Menor Cuantía,7,2485125562.0,
2018.0,No territorializable,,Otro,Contratación Directa (con ofertas),1,50000000.0,
2018.0,No territorializable,,Otro,Contratación directa,1,863265656.0,
2018.0,No territorializable,,Prestación de servicios,Contratación directa,543,42964877438.28,
2018.0,No territorializable,,Prestación de servicios,Licitación pública,2,9241503751.0,
2018.0,No territorializable,,Prestación de servicios,Mínima cuantía,9,379643745.0,
2018.0,No territorializable,,Prestación de servicios,Selección Abreviada de Menor Cuantía,8,14333096736.0,
2018.0,No territorializable,,Prestación de servicios,Selección abreviada subasta inversa,1,1195088022.0,
2018.0,No territorializable,,Suministros,Mínima cuantía,32,2066709818.45,
2018.0,No territorializable,,Suministros,Selección Abreviada de Menor Cuantía,2,5000000000.0,
2018.0,No territorializable,,Suministros,Selección abreviada subasta inversa,3,1630000000.0,
2019.0,Departamento único,Amazonas,Interventoría,Concurso de méritos abierto,1,79250000.0,AMAZONAS
2019.0,Departamento único,Amazonas,Interventoría,Mínima cuantía,2,57349600.0,AMAZONAS
2019.0,Departamento único,Amazonas,Obra,Selección Abreviada de Menor Cuantía,1,400094846.0,AMAZONAS
2019.0,Departamento único,Antioquia,Consultoría,Mínima cuantía,1,48510910.0,ANTIOQUIA
2019.0,Departamento único,Antioquia,Interventoría,Concurso de méritos abierto,3,11282800959.0,ANTIOQUIA
2019.0,Departamento único,Antioquia,Interventoría,Mínima cuantía,2,129948710.0,ANTIOQUIA
2019.0,Departamento único,Antioquia,Obra,Mínima cuantía,6,374118243.0,ANTIOQUIA
2019.0,Departamento único,Antioquia,Obra,Selección Abreviada de Menor Cuantía,1,1141468194.0,ANTIOQUIA
2019.0,Departamento único,Antioquia,Suministros,Mínima cuantía,1,82800000.0,ANTIOQUIA
2019.0,Departamento único,Arauca,Interventoría,Concurso de méritos abierto,2,769338433.0,ARAUCA
2019.0,Departamento único,Arauca,Obra,Licitación pública Obra Publica,1,228104334.62,ARAUCA
2019.0,Departamento único,Arauca,Obra,Mínima cuantía,1,89737635.0,ARAUCA
2019.0,Departamento único,Arauca,Obra,Selección Abreviada de Menor Cuantía,1,579564797.0,ARAUCA
2019.0,Departamento único,Atlántico,Consultoría,Concurso de méritos abierto,1,318689140.0,ATLANTICO
2019.0,Departamento único,Atlántico,Consultoría,Mínima cuantía,1,49501978.0,ATLANTICO
2019.0,Departamento único,Atlántico,Obra,Licitación pública Obra Publica,1,2606800208.44,ATLANTICO
2019.0,Departamento único,Atlántico,Obra,Mínima cuantía,3,172627569.0,ATLANTICO
2019.0,Departamento único,Atlántico,Obra,Selección Abreviada de Menor Cuantía,3,611476615.0,ATLANTICO
2019.0,Departamento único,Atlántico,Prestación de servicios,Mínima cuantía,1,1681827.0,ATLANTICO
2019.0,Departamento único,Atlántico,Suministros,Mínima cuantía,1,4902800.0,ATLANTICO
2019.0,Departamento único,Bogotá D.C.,Obra,Mínima cuantía,1,36342650.0,SANTAFE DE BOGOTA D.C
2019.0,Departamento único,Bogotá D.C.,Prestación de servicios,Mínima cuantía,3,146781432.57999998,SANTAFE DE BOGOTA D.C
2019.0,Departamento único,Bolívar,Consultoría,Concurso de méritos abierto,1,777212800.0,BOLIVAR
2019.0,Departamento único,Bolívar,Interventoría,Concurso de méritos abierto,1,309816500.0,BOLIVAR
2019.0,Departamento único,Bolívar,Interventoría,Mínima cuantía,2,46633000.0,BOLIVAR
2019.0,Departamento único,Bolívar,Obra,Mínima cuantía,2,135706089.0,BOLIVAR
2019.0,Departamento único,Bolívar,Prestación de servicios,Selección Abreviada de Menor Cuantía,1,122611820.0,BOLIVAR
2019.0,Departamento único,Boyacá,Consultoría,Concurso de méritos abierto,8,7623369767.0,BOYACA
2019.0,Departamento único,Boyacá,Consultoría,Mínima cuantía,2,155924425.2,BOYACA
2019.0,Departamento único,Boyacá,Interventoría,Concurso de méritos abierto,5,1389014491.0,BOYACA
2019.0,Departamento único,Boyacá,Interventoría,Mínima cuantía,1,79867700.0,BOYACA
2019.0,Departamento único,Boyacá,Obra,Licitación pública Obra Publica,23,10726739625.880001,BOYACA
2019.0,Departamento único,Boyacá,Obra,Mínima cuantía,11,722086489.0,BOYACA
2019.0,Departamento único,Boyacá,Obra,Selección Abreviada de Menor Cuantía,4,2205457887.8,BOYACA
2019.0,Departamento único,Boyacá,Prestación de servicios,Mínima cuantía,1,15529000.0,BOYACA
2019.0,Departamento único,Caldas,Consultoría,Mínima cuantía,1,41963113.0,CALDAS
2019.0,Departamento único,Caldas,Interventoría,Concurso de méritos abierto,1,2894096337.0,CALDAS
2019.0,Departamento único,Caldas,Interventoría,Mínima cuantía,1,28720650.0,CALDAS
2019.0,Departamento único,Caldas,Obra,Licitación pública Obra Publica,10,10475297159.0,CALDAS
2019.0,Departamento único,Caldas,Obra,Mínima cuantía,7,408566328.0,CALDAS
2019.0,Departamento único,Caldas,Obra,Selección Abreviada de Menor Cuantía,2,533559077.0,CALDAS
2019.0,Departamento único,Caldas,Suministros,Mínima cuantía,2,122465280.0,CALDAS
2019.0,Departamento único,Caquetá,Consultoría,Mínima cuantía,4,217131327.0,CAQUETA
2019.0,Departamento único,Caquetá,Interventoría,Concurso de méritos abierto,3,1154673329.0,CAQUETA
2019.0,Departamento único,Caquetá,Interventoría,Mínima cuantía,1,24214715.0,CAQUETA
2019.0,Departamento único,Caquetá,Obra,Licitación pública,2,357025742.1,CAQUETA
2019.0,Departamento único,Caquetá,Obra,Licitación pública Obra Publica,19,30244100297.0,CAQUETA
2019.0,Departamento único,Caquetá,Obra,Mínima cuantía,14,1008656054.1,CAQUETA
2019.0,Departamento único,Caquetá,Obra,Selección Abreviada de Menor Cuantía,3,1052285781.0,CAQUETA
