id_contrato,objeto_del_contrato,departamento_inferido,asignacion_correcta,observacion
CO1.PCCNTR.6748818,AUNAR ESFUERZOS ENTRE EL INSTITUTO NACIONAL DE VIAS Y LA JUNTA DE ACCION COMUNAL DE LA VEREDA CORRAL DE SAN LUIS DEL MUNICIPIO DE TUBARA DEPARTAMENTO DEL ATLANTICO PARA EL MEJORAMIENTO VIAL EN EL MARCO DEL PROGRAMA CAMINOS COMUNITARIOS DE LA PAZ TOTAL,Atlántico,,
CO1.PCCNTR.6930305,HABILITAR Y/O BRINDAR TRANSITABILIDAD EN LA RED VIAL A CARGO DEL INVIAS; A TRAVÉS DEL SISTEMA DE MONTO AGOTABLE; EN VÍAS A CARGO DE LA DIRECCIÓN TERRITORIAL META,Meta,,
CO1.PCCNTR.6565867,AUNAR ESFUERZOS ENTRE EL INSTITUTO NACIONAL DE VIAS Y LA JUNTA DE ACCIÓN COMUNAL SECTOR LA BALASTRERA VEREDA LA LEONA DEL MUNICIPIO DE ARGELIA; DEL DEPARTAMENTO DEL CAUCA PARA EL MEJORAMIENTO VIAL EN EL MARCO DEL PROGRAMA CAMINOS COMUNITARIOS DE LA PAZ TOTAL.,Cauca,,
CO1.PCCNTR.6516141,AUNAR ESFUERZOS ENTRE EL INSTITUTO NACIONAL DE VIAS Y LA JUNTA DE ACCIÓN COMUNAL DE LA VEREDA EL BORAL SECTOR DE EL SOCORRO DEL MUNICIPIO DE PAZ DE ARIPORO; DEPARTAMENTO DE CASANARE PARA EL MEJORAMIENTO VIAL EN EL MARCO DEL PROGRAMA CAMINOS COMUNITARIOS DE LA PAZ TOTAL,Casanare,,
CO1.PCCNTR.240016,Entrega a título de comodato o préstamo de uso al departamento de Boyacá; de un (1) puente metálico con longitud de 30.5 metros y ancho de 6.80 metros; instalado en el sitio del Colegio Gustavo Jiménez sector del municipio de Sogamoso; sobre el río Chicamocha; en la carretera Duitama - Sogamoso,Boyacá,,
CO1.PCCNTR.437969,OBRAS DE SEÑALIZACION VIAL EN VIAS A CARGO DE INVIAS EN JURISDICCION DE LA DIRECCION TERRITORIAL CALDAS,Caldas,,
CO1.PCCNTR.8249748,ADECUACIÓN DE LA SEDE DE INVIAS DE LA DIRECCION TERRITORIAL SUCRE 2025,Sucre,,
CO1.PCCNTR.3129891,SUMINISTRO DE ASFALTO NATURAL VIA 2003A ORRAPIHUASI - FLORENCIA; SECTOR DEPRESION EL VERGEL - FLORENCIA; PR 41+742 - PR 83+537; TERRITORIAL CAQUETA,Caquetá,,
CO1.PCCNTR.8682257,MEJORAMIENTO Y MANTENIMIENTO DE VÍAS TERCIARIAS EN LOS RESGUARDOS INDÍGENAS DEL CONSEJO REGIONAL DEL CALDAS - CRIDEC MÓDULO 1 MUNICIPIOS DE ANSERMA; VITERBO Y RIO SUCIO RESGUARDO INDÍGENA SAN LORENZO RESGUARDO INDÍGENA SAN LORENZO (DEPARTAMENTO DEL CALDAS). LOTE 1.,Caldas,,
CO1.PCCNTR.995228,INVENTARIO Y LOCALIZACIÓN CORREDOR FÉRREO NACIONAL TRAMO FACATATIVÁ (K40)  ESPINAL (K190) Y FACATATIVÁ  PUERTO SALGAR: TRAMO GUADERO MUNICIPIO DE GUADUAS K147 A PUERTO SALGAR K200; DEPARTAMENTO DE CUNDINAMARCA,Cundinamarca,,
CO1.PCCNTR.2543555,AUNAR ESFUERZOS PARA EL MANTENIMIENTO; MEJORAMIENTO Y REHABILITACIÓN DE VÍAS RURALES CORREDORES PRODUCTIVOS EN EL MUNICIPIO DE MAGANGUÉ DEPARTAMENTO DE BOLÍVAR - COLOMBIA RURAL.,Bolívar,,
CO1.PCCNTR.6266927,INTERVENTORÍA TÉCNICA; LEGAL; ADMINISTRATIVA Y FINANCIERA PARA LA CONSTRUCCIÓN DE MUELLES FLUVIALES EN LAS COMUNIDADES DE TRAPICHE Y PERRÚ EN EL RÍO SAN JUAN EN EL DEPARTAMENTO DE CHOCÓ. LOTE 1.,Chocó,,
CO1.PCCNTR.1161216,MANTENIMIENTO DE LA CARRETERA TAME COROCORO - ARAUCA,Arauca,,
CO1.PCCNTR.2085907,AUNAR ESFUERZOS ENTRE EL INSTITUTO NACIONAL DE VIAS - INVIAS Y EL MUNICIPIO DE TAME; DEPARTAMENTO DE ARAUCA PARA EL MANTENIMIENTO Y MEJORAMIENTO DE VIAS RURALES DEL PROGRAMA COLOMBIA RURAL,Arauca,,
CO1.PCCNTR.3040337,AUNAR ESFUERZOS PARA EL MEJORAMIENTO DE VIAS RURALES EN EL MUNICIPIO DE MAGANGUE DEPARTAMENTO DE BOLIVAR DEL PROGRAMA COLOMBIA RURAL-NACIONAL.,Bolívar,,
